artist,name,type,country,birthdate,deathdate
Kenny Wayne Shepherd,Kenny Wayne Shepherd,Person,US,1977-06-12,False
Iggy Azalea,Iggy Azalea,Person,US,1990-06-07,False
FLETCHER,FLETCHER,Person,US,1994-03-19,False
Lil Skies,Lil Skies,Person,US,1998-08-04,False
2 Chainz,2 Chainz,Person,US,1976-09-10,False
JAY-Z,JAY‐Z,Person,US,1969-12-04,False
Lyn Lapid,Lyn Lapid,Person,,,False
Lil Pump,Lil Pump,Person,US,2000-08-17,False
John Mayer,John Mayer,Person,US,1977-10-16,False
Zedd,Zedd,Person,DE,1989-09-02,False
Hikaru Utada,[Hikaru Utada's son],Person,,,False
Gesaffelstein,Gesaffelstein,Person,FR,1985-06-13,False
Rich The Kid,Rich the Kid,Person,US,1992-07-13,False
Silk City,Silk City,Group,GB,,False
Lil Duval,Lil Duval,Person,US,1977-06-12,False
Lukas Graham,Lukas Graham,Group,DK,2011,False
Zara Larsson,Zara Larsson,Person,SE,1997-12-16,False
Loud Luxury,Loud Luxury,Group,CA,2012,False
Midland,Midland,Group,US,2014,False
Sheck Wes,Sheck Wes,Person,US,1998-09-10,False
Flipp Dinero,Flipp Dinero,Person,US,1995-11-16,False
Pardison Fontaine,Pardison Fontaine,Person,,1989-12-09,False
Mark Ronson,Mark Ronson,Person,GB,1975-09-04,False
Kip Moore,Kip Moore,Person,US,1980-04-01,False
3 Dope Brothas,Dope,Group,US,1997,False
GloRilla,GloRilla,Person,US,1996-07-28,False
J. Cole,J. Cole,Person,US,1985-01-28,False
Cat Janice,Cat Janice,Person,US,1993-01-21,True
George Frideric Handel,George Frideric Handel,Person,GB,1685-02-23,True
Benson Boone,Benson Boone,Person,US,2002-06-25,False
Taylor Swift,Taylor Swift,Person,US,1989-12-13,False
Stealth,Stealth,Person,,,False
Bakar,Bakar,Person,GB,1994-02-12,False
Chappell Roan,Chappell Roan,Person,US,1998-02-19,False
Jelly Roll,Jelly Roll,Person,,,False
ILLIT,ILLIT,Group,KR,2023-09-01,False
Nate Smith,Nate Smith,Person,US,,False
Beyoncé,Beyoncé,Person,US,1981-09-04,False
Camila Cabello,Camila Cabello,Person,US,1997-03-03,False
Tucker Wetmore,Tucker Wetmore,Person,US,,False
Future,Future,Person,US,1983-11-20,False
Hozier,Hozier,Person,IE,1990-03-17,False
Olivia Rodrigo,Olivia Rodrigo,Person,US,2003-02-20,False
Peso Pluma,Peso Pluma,Person,MX,1999-07-15,False
Artemas,Artemas,,,,False
Shakira,Shakira,Person,CO,1977-02-02,False
Xavi,Xavi,Person,,,False
Joyner Lucas,Joyner Lucas,Person,US,1988-08-17,False
Cardi B,Cardi B,Person,US,1992-10-11,False
Sexyy Red,Sexyy Red,Person,US,1998-04-15,False
Gunna,Gunna,Person,US,1993-06-14,False
V,Riot V,Group,US,1975,False
Kacey Musgraves,Kacey Musgraves,Person,US,1988-08-21,False
BossMan Dlow,BossMan Dlow,Person,US,1998-08-31,False
Ivan Cornejo,Ivan Cornejo,Person,,,False
Bryan Martin,Bryan Adams,Person,CA,1959-11-05,False
FloyyMenor,FloyyMenor,,,,False
Ariana Grande,Ariana Grande,Person,US,1993-06-26,False
Dasha,Dasha,Person,RU,,False
Tyler Hubbard,Tyler Hubbard,Person,US,1987-01-31,False
Sam Hunt,Sam Hunt,Person,US,1984-12-08,False
Twenty One Pilots,twenty one pilots,Group,US,2009,False
