date,rank,song,artist,pk
2019-04-27,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road_Lil Nas X Featuring Billy Ray Cyrus
2019-04-27,2,Wow.,Post Malone,Wow._Post Malone
2019-04-27,3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)_Post Malone & Swae Lee
2019-04-27,4,7 Rings,Ariana Grande,7 Rings_Ariana Grande
2019-04-27,5,Without Me,Halsey,Without Me_Halsey
2019-04-27,6,Sucker,Jonas Brothers,Sucker_Jonas Brothers
2019-04-27,7,Dancing With A Stranger,Sam Smith & Normani,Dancing With A Stranger_Sam Smith & Normani
2019-04-27,8,Boy With Luv,BTS Featuring Halsey,Boy With Luv_BTS Featuring Halsey
2019-04-27,9,Bad Guy,Billie Eilish,Bad Guy_Billie Eilish
2019-04-27,10,Please Me,Cardi B & Bruno Mars,Please Me_Cardi B & Bruno Mars
2019-04-27,11,Middle Child,J. Cole,Middle Child_J. Cole
2019-04-27,12,Happier,Marshmello & Bastille,Happier_Marshmello & Bastille
2019-04-27,13,Sweet But Psycho,Ava Max,Sweet But Psycho_Ava Max
2019-04-27,14,Thotiana,Blueface,Thotiana_Blueface
2019-04-27,15,Going Bad,Meek Mill Featuring Drake,Going Bad_Meek Mill Featuring Drake
2019-04-27,16,Shallow,Lady Gaga & Bradley Cooper,Shallow_Lady Gaga & Bradley Cooper
2019-04-27,17,Better,Khalid,Better_Khalid
2019-04-27,18,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"Break Up With Your Girlfriend, I'm Bored_Ariana Grande"
2019-04-27,19,Eastside,"benny blanco, Halsey & Khalid","Eastside_benny blanco, Halsey & Khalid"
2019-04-27,20,Talk,Khalid,Talk_Khalid
2019-04-27,21,High Hopes,Panic! At The Disco,High Hopes_Panic! At The Disco
2019-04-27,22,A Lot,21 Savage,A Lot_21 Savage
2019-04-27,23,Girls Like You,Maroon 5 Featuring Cardi B,Girls Like You_Maroon 5 Featuring Cardi B
2019-04-27,24,Beautiful Crazy,Luke Combs,Beautiful Crazy_Luke Combs
2019-04-27,25,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me_Ellie Goulding X Diplo Featuring Swae Lee
2019-04-27,26,Sicko Mode,Travis Scott,Sicko Mode_Travis Scott
2019-04-27,27,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle_Nipsey Hussle Featuring Roddy Ricch & Hit-Boy
2019-04-27,28,Sanguine Paradise,Lil Uzi Vert,Sanguine Paradise_Lil Uzi Vert
2019-04-27,29,Murder On My Mind,YNW Melly,Murder On My Mind_YNW Melly
2019-04-27,30,Be Alright,Dean Lewis,Be Alright_Dean Lewis
2019-04-27,31,Bury A Friend,Billie Eilish,Bury A Friend_Billie Eilish
2019-04-27,32,Drip Too Hard,Lil Baby & Gunna,Drip Too Hard_Lil Baby & Gunna
2019-04-27,33,Pure Water,Mustard & Migos,Pure Water_Mustard & Migos
2019-04-27,34,"Thank U, Next",Ariana Grande,"Thank U, Next_Ariana Grande"
2019-04-27,35,Envy Me,Calboy,Envy Me_Calboy
2019-04-27,36,Act Up,City Girls,Act Up_City Girls
2019-04-27,37,Look Back At It,A Boogie Wit da Hoodie,Look Back At It_A Boogie Wit da Hoodie
2019-04-27,38,When The Party's Over,Billie Eilish,When The Party's Over_Billie Eilish
2019-04-27,39,Better Now,Post Malone,Better Now_Post Malone
2019-04-27,40,You Say,Lauren Daigle,You Say_Lauren Daigle
2019-04-27,41,Here With Me,Marshmello Featuring CHVRCHES,Here With Me_Marshmello Featuring CHVRCHES
2019-04-27,42,Here Tonight,Brett Young,Here Tonight_Brett Young
2019-04-27,43,Baby Shark,Pinkfong,Baby Shark_Pinkfong
2019-04-27,44,Eyes On You,Chase Rice,Eyes On You_Chase Rice
2019-04-27,45,MIA,Bad Bunny Featuring Drake,MIA_Bad Bunny Featuring Drake
2019-04-27,46,God's Country,Blake Shelton,God's Country_Blake Shelton
2019-04-27,47,Youngblood,5 Seconds Of Summer,Youngblood_5 Seconds Of Summer
2019-04-27,48,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin_A Boogie Wit da Hoodie Featuring 6ix9ine
2019-04-27,49,Tequila,Dan + Shay,Tequila_Dan + Shay
2019-04-27,50,Money,Cardi B,Money_Cardi B
2019-04-27,51,Suge,DaBaby,Suge_DaBaby
2019-04-27,52,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,Who Do You Love_The Chainsmokers Featuring 5 Seconds Of Summer
2019-04-27,53,Look What God Gave Her,Thomas Rhett,Look What God Gave Her_Thomas Rhett
2019-04-27,54,Good As You,Kane Brown,Good As You_Kane Brown
2019-04-27,55,Whiskey Glasses,Morgan Wallen,Whiskey Glasses_Morgan Wallen
2019-04-27,56,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,Con Calma_Daddy Yankee & Katy Perry Featuring Snow
2019-04-27,57,Make It Sweet,Old Dominion,Make It Sweet_Old Dominion
2019-04-27,58,Close Friends,Lil Baby,Close Friends_Lil Baby
2019-04-27,59,Mixed Personalities,YNW Melly Featuring Kanye West,Mixed Personalities_YNW Melly Featuring Kanye West
2019-04-27,60,Worth It,YK Osiris,Worth It_YK Osiris
2019-04-27,61,Robbery,Juice WRLD,Robbery_Juice WRLD
2019-04-27,62,I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,I've Been Waiting_Lil Peep & iLoveMakonnen Featuring Fall Out Boy
2019-04-27,63,Miss Me More,Kelsea Ballerini,Miss Me More_Kelsea Ballerini
2019-04-27,64,Wish You Were Gay,Billie Eilish,Wish You Were Gay_Billie Eilish
2019-04-27,65,You Should See Me In A Crown,Billie Eilish,You Should See Me In A Crown_Billie Eilish
2019-04-27,66,Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May","Blue On Black_Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
2019-04-27,67,Don't Call Me Up,Mabel,Don't Call Me Up_Mabel
2019-04-27,68,SOS,Avicii Featuring Aloe Blacc,SOS_Avicii Featuring Aloe Blacc
2019-04-27,69,Rumor,Lee Brice,Rumor_Lee Brice
2019-04-27,70,Night Shift,Jon Pardi,Night Shift_Jon Pardi
2019-04-27,71,Walk Me Home,P!nk,Walk Me Home_P!nk
2019-04-27,72,Clout,Offset Featuring Cardi B,Clout_Offset Featuring Cardi B
2019-04-27,73,Kill This Love,BLACKPINK,Kill This Love_BLACKPINK
2019-04-27,74,Pop Out,Polo G Featuring Lil Tjay,Pop Out_Polo G Featuring Lil Tjay
2019-04-27,75,Cool,Jonas Brothers,Cool_Jonas Brothers
2019-04-27,76,That's A Rack,Lil Uzi Vert,That's A Rack_Lil Uzi Vert
2019-04-27,77,Girls Need Love,Summer Walker X Drake,Girls Need Love_Summer Walker X Drake
2019-04-27,78,Shot Clock,Ella Mai,Shot Clock_Ella Mai
2019-04-27,79,GIRL,Maren Morris,GIRL_Maren Morris
2019-04-27,80,Bad Liar,Imagine Dragons,Bad Liar_Imagine Dragons
2019-04-27,81,Love Ain't,Eli Young Band,Love Ain't_Eli Young Band
2019-04-27,82,Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,Double Up_Nipsey Hussle Featuring Belly & DOM KENNEDY
2019-04-27,83,Undrunk,FLETCHER,Undrunk_FLETCHER
2019-04-27,84,Big Ole Freak,Megan Thee Stallion,Big Ole Freak_Megan Thee Stallion
2019-04-27,85,Put A Date On It,Yo Gotti Featuring Lil Baby,Put A Date On It_Yo Gotti Featuring Lil Baby
2019-04-27,86,Saturday Nights,Khalid & Kane Brown,Saturday Nights_Khalid & Kane Brown
2019-04-27,87,One That Got Away,Michael Ray,One That Got Away_Michael Ray
2019-04-27,88,My Strange Addiction,Billie Eilish,My Strange Addiction_Billie Eilish
2019-04-27,89,Faucet Failure,Ski Mask The Slump God,Faucet Failure_Ski Mask The Slump God
2019-04-27,90,Xanny,Billie Eilish,Xanny_Billie Eilish
2019-04-27,91,Ocean Eyes,Billie Eilish,Ocean Eyes_Billie Eilish
2019-04-27,92,Last Time That I Checc'd,Nipsey Hussle Featuring YG,Last Time That I Checc'd_Nipsey Hussle Featuring YG
2019-04-27,93,Talk You Out Of It,Florida Georgia Line,Talk You Out Of It_Florida Georgia Line
2019-04-27,94,I'm So Tired...,Lauv & Troye Sivan,I'm So Tired..._Lauv & Troye Sivan
2019-04-27,95,Make It Right,BTS Featuring Lauv,Make It Right_BTS Featuring Lauv
2019-04-27,96,"Hey Look Ma, I Made It",Panic! At The Disco,"Hey Look Ma, I Made It_Panic! At The Disco"
2019-04-27,97,This Is It,Scotty McCreery,This Is It_Scotty McCreery
2019-04-27,98,There Was This Girl,Riley Green,There Was This Girl_Riley Green
2019-04-27,99,Let Me Down Slowly,Alec Benjamin + Alessia Cara,Let Me Down Slowly_Alec Benjamin + Alessia Cara
2019-04-27,100,On My Way To You,Cody Johnson,On My Way To You_Cody Johnson
2019-04-20,1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road_Lil Nas X Featuring Billy Ray Cyrus
2019-04-20,2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)_Post Malone & Swae Lee
2019-04-20,3,Wow.,Post Malone,Wow._Post Malone
2019-04-20,4,7 Rings,Ariana Grande,7 Rings_Ariana Grande
2019-04-20,5,Without Me,Halsey,Without Me_Halsey
2019-04-20,6,Sucker,Jonas Brothers,Sucker_Jonas Brothers
2019-04-20,7,Please Me,Cardi B & Bruno Mars,Please Me_Cardi B & Bruno Mars
2019-04-20,8,Better,Khalid,Better_Khalid
2019-04-20,9,Middle Child,J. Cole,Middle Child_J. Cole
2019-04-20,10,Happier,Marshmello & Bastille,Happier_Marshmello & Bastille
2019-04-20,11,Bad Guy,Billie Eilish,Bad Guy_Billie Eilish
2019-04-20,12,Dancing With A Stranger,Sam Smith & Normani,Dancing With A Stranger_Sam Smith & Normani
2019-04-20,13,Shallow,Lady Gaga & Bradley Cooper,Shallow_Lady Gaga & Bradley Cooper
2019-04-20,14,Eastside,"benny blanco, Halsey & Khalid","Eastside_benny blanco, Halsey & Khalid"
2019-04-20,15,Going Bad,Meek Mill Featuring Drake,Going Bad_Meek Mill Featuring Drake
2019-04-20,16,Sweet But Psycho,Ava Max,Sweet But Psycho_Ava Max
2019-04-20,17,Thotiana,Blueface,Thotiana_Blueface
2019-04-20,18,Talk,Khalid,Talk_Khalid
2019-04-20,19,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"Break Up With Your Girlfriend, I'm Bored_Ariana Grande"
2019-04-20,20,High Hopes,Panic! At The Disco,High Hopes_Panic! At The Disco
2019-04-20,21,Beautiful Crazy,Luke Combs,Beautiful Crazy_Luke Combs
2019-04-20,22,A Lot,21 Savage,A Lot_21 Savage
2019-04-20,23,Girls Like You,Maroon 5 Featuring Cardi B,Girls Like You_Maroon 5 Featuring Cardi B
2019-04-20,24,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me_Ellie Goulding X Diplo Featuring Swae Lee
2019-04-20,25,Sicko Mode,Travis Scott,Sicko Mode_Travis Scott
