date,rank,song,artist
2024-04-20,1,Like That,"Future, Metro Boomin & Kendrick Lamar"
2024-04-20,2,Too Sweet,Hozier
2024-04-20,3,Beautiful Things,Benson Boone
2024-04-20,4,Lose Control,Teddy Swims
2024-04-20,5,Texas Hold 'Em,Beyonce
2024-04-20,6,7 Minute Drill,J. Cole
2024-04-20,7,Lovin On Me,Jack Harlow
2024-04-20,8,We Can't Be Friends (Wait For Your Love),Ariana Grande
2024-04-20,9,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti"
2024-04-20,10,Stick Season,Noah Kahan
2024-04-20,11,Wanna Be,GloRilla & Megan Thee Stallion
2024-04-20,12,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
2024-04-20,13,Cruel Summer,Taylor Swift
2024-04-20,14,Greedy,Tate McRae
2024-04-20,15,Saturn,SZA
2024-04-20,16,I Like The Way You Kiss Me,Artemas
2024-04-20,17,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti
2024-04-20,18,Agora Hills,Doja Cat
2024-04-20,19,Crocodile Tearz,J. Cole
2024-04-20,20,Snooze,SZA
2024-04-20,21,Fast Car,Luke Combs
2024-04-20,22,Get It Sexyy,Sexyy Red
2024-04-20,23,End Of Beginning,Djo
2024-04-20,24,Water,Tyla
2024-04-20,25,Redrum,21 Savage
2024-04-20,26,Feather,Sabrina Carpenter
2024-04-20,27,Man Made A Bar,Morgan Wallen Featuring Eric Church
2024-04-20,28,Huntin' Wabbitz,J. Cole
2024-04-20,29,Pricey,"J. Cole Featuring Ari Lennox, Young Dro & Gucci Mane"
2024-04-20,30,II Most Wanted,Beyonce & Miley Cyrus
2024-04-20,31,Never Lose Me,Flo Milli
2024-04-20,32,Austin,Dasha
2024-04-20,33,Made For Me,Muni Long
2024-04-20,34,Whatever She Wants,Bryson Tiller
2024-04-20,35,H.Y.B.,J. Cole Featuring Bas & Central Cee
2024-04-20,36,Act II: Date @ 8,4Batz Featuring Drake
2024-04-20,37,Cinderella,"Future, Metro Boomin & Travis Scott"
2024-04-20,38,Ready '24,J. Cole Featuring Cam'Ron
2024-04-20,39,Yeah Glo!,GloRilla
2024-04-20,40,Slow It Down,Benson Boone
2024-04-20,41,Where The Wild Things Are,Luke Combs
2024-04-20,42,Burn It Down,Parker McCollum
2024-04-20,43,Obsessed,Olivia Rodrigo
2024-04-20,44,Where It Ends,Bailey Zimmerman
2024-04-20,45,Houdini,Dua Lipa
2024-04-20,46,Paint The Town Red,Doja Cat
2024-04-20,47,FE!N,Travis Scott Featuring Playboi Carti
2024-04-20,48,Gata Only,FloyyMenor X Cris Mj
2024-04-20,49,Wild Ones,Jessie Murph & Jelly Roll
2024-04-20,50,Selfish,Justin Timberlake
2024-04-20,51,Jolene,Beyonce
2024-04-20,52,23,Chayce Beckham
2024-04-20,53,Stickz N Stonez,J. Cole
2024-04-20,54,Scared To Start,Michael Marcagi
2024-04-20,55,Wildflowers And Wild Horses,Lainey Wilson
2024-04-20,56,Young Metro,"Future, Metro Boomin & The Weeknd"
2024-04-20,57,Get In With Me,BossMan Dlow
2024-04-20,58,Enough (Miami),Cardi B
2024-04-20,59,Fever,J. Cole
2024-04-20,60,Cry,Benson Boone
