song,artist,pk,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
7 Minute Drill,J. Cole,7 Minute Drill_J. Cole,0.488,0.673,10.0,-11.262,0.0,0.176,0.109,0.86,0.28,0.188,163.987,audio_features,121ozDQCYicrPSgpeSUPx6,spotify:track:121ozDQCYicrPSgpeSUPx6,https://api.spotify.com/v1/tracks/121ozDQCYicrPSgpeSUPx6,https://api.spotify.com/v1/audio-analysis/121ozDQCYicrPSgpeSUPx6,206601.0,4.0
Wanna Be,GloRilla & Megan Thee Stallion,Wanna Be_GloRilla & Megan Thee Stallion,0.918,0.616,1.0,-5.202,1.0,0.355,0.0222,0.0,0.135,0.37,135.054,audio_features,7mOC6phfrfz3jfigg1aGsE,spotify:track:7mOC6phfrfz3jfigg1aGsE,https://api.spotify.com/v1/tracks/7mOC6phfrfz3jfigg1aGsE,https://api.spotify.com/v1/audio-analysis/7mOC6phfrfz3jfigg1aGsE,156444.0,4.0
Crocodile Tearz,J. Cole,Crocodile Tearz_J. Cole,0.793,0.492,9.0,-8.583,0.0,0.0772,0.0527,0.0,0.0646,0.198,86.978,audio_features,1yfKakY4rvI17lk20ekuRA,spotify:track:1yfKakY4rvI17lk20ekuRA,https://api.spotify.com/v1/tracks/1yfKakY4rvI17lk20ekuRA,https://api.spotify.com/v1/audio-analysis/1yfKakY4rvI17lk20ekuRA,229187.0,4.0
Huntin' Wabbitz,J. Cole,Huntin' Wabbitz_J. Cole,0.807,0.49,1.0,-8.451,0.0,0.353,0.177,0.0,0.0937,0.431,113.982,audio_features,2cH8wHImerFokgmhjyhCTU,spotify:track:2cH8wHImerFokgmhjyhCTU,https://api.spotify.com/v1/tracks/2cH8wHImerFokgmhjyhCTU,https://api.spotify.com/v1/audio-analysis/2cH8wHImerFokgmhjyhCTU,162027.0,4.0
Pricey,"J. Cole Featuring Ari Lennox, Young Dro & Gucci Mane","Pricey_J. Cole Featuring Ari Lennox, Young Dro & Gucci Mane",0.845,0.69,7.0,-5.703,1.0,0.0839,0.0927,0.00523,0.0844,0.957,114.966,audio_features,5E9cb5vhHkrM0DW8yIYkfw,spotify:track:5E9cb5vhHkrM0DW8yIYkfw,https://api.spotify.com/v1/tracks/5E9cb5vhHkrM0DW8yIYkfw,https://api.spotify.com/v1/audio-analysis/5E9cb5vhHkrM0DW8yIYkfw,210924.0,4.0
H.Y.B.,J. Cole Featuring Bas & Central Cee,H.Y.B._J. Cole Featuring Bas & Central Cee,0.32,0.0717,5.0,-23.082,0.0,0.0396,0.873,0.000281,0.186,0.28,69.693,audio_features,7tL8axnLq9V2ux4XQmkzMF,spotify:track:7tL8axnLq9V2ux4XQmkzMF,https://api.spotify.com/v1/tracks/7tL8axnLq9V2ux4XQmkzMF,https://api.spotify.com/v1/audio-analysis/7tL8axnLq9V2ux4XQmkzMF,38960.0,3.0
Ready '24,J. Cole Featuring Cam'Ron,Ready '24_J. Cole Featuring Cam'Ron,0.449,0.697,11.0,-5.342,1.0,0.323,0.114,0.0,0.241,0.242,83.699,audio_features,4J9WveqdoaEUQu1aeoSH9X,spotify:track:4J9WveqdoaEUQu1aeoSH9X,https://api.spotify.com/v1/tracks/4J9WveqdoaEUQu1aeoSH9X,https://api.spotify.com/v1/audio-analysis/4J9WveqdoaEUQu1aeoSH9X,210133.0,4.0
Stickz N Stonez,J. Cole,Stickz N Stonez_J. Cole,0.535,0.726,4.0,-6.515,0.0,0.386,0.194,0.0,0.311,0.471,77.238,audio_features,1tTKy8pW1dMaXJm7bYrSzA,spotify:track:1tTKy8pW1dMaXJm7bYrSzA,https://api.spotify.com/v1/tracks/1tTKy8pW1dMaXJm7bYrSzA,https://api.spotify.com/v1/audio-analysis/1tTKy8pW1dMaXJm7bYrSzA,200787.0,4.0
Fever,J. Cole,Fever_J. Cole,0.805,0.548,1.0,-9.316,1.0,0.173,0.145,0.000148,0.377,0.167,99.95,audio_features,6XkIQqAsFjk1XfD4L7G6qR,spotify:track:6XkIQqAsFjk1XfD4L7G6qR,https://api.spotify.com/v1/tracks/6XkIQqAsFjk1XfD4L7G6qR,https://api.spotify.com/v1/audio-analysis/6XkIQqAsFjk1XfD4L7G6qR,142640.0,4.0
Cry,Benson Boone,Cry_Benson Boone,0.711,0.48,10.0,-5.251,1.0,0.0365,0.104,1.55e-05,0.0894,0.352,107.948,audio_features,3h76tbaYIamSeJL81X7ZwI,spotify:track:3h76tbaYIamSeJL81X7ZwI,https://api.spotify.com/v1/tracks/3h76tbaYIamSeJL81X7ZwI,https://api.spotify.com/v1/audio-analysis/3h76tbaYIamSeJL81X7ZwI,186360.0,4.0
Pi,J. Cole Featuring Daylyt & Ab-Soul,Pi_J. Cole Featuring Daylyt & Ab-Soul,0.557,0.496,0.0,-9.602,1.0,0.0563,0.808,0.000173,0.0772,0.265,149.983,audio_features,1fzAuUVbzlhZ1lJAx9PtY6,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,https://api.spotify.com/v1/tracks/1fzAuUVbzlhZ1lJAx9PtY6,https://api.spotify.com/v1/audio-analysis/1fzAuUVbzlhZ1lJAx9PtY6,293453.0,4.0
Stealth Mode,J. Cole Featuring Bas,Stealth Mode_J. Cole Featuring Bas,0.226,0.525,0.0,-5.441,0.0,0.0377,0.00226,0.0,0.111,0.1,85.33,audio_features,1nmwT930XXGwjccTSqkctl,spotify:track:1nmwT930XXGwjccTSqkctl,https://api.spotify.com/v1/tracks/1nmwT930XXGwjccTSqkctl,https://api.spotify.com/v1/audio-analysis/1nmwT930XXGwjccTSqkctl,230943.0,5.0
