id,song_spotify,artist_spotify,album,release_date,popularity
121ozDQCYicrPSgpeSUPx6,7 Minute Drill (Originally Performed by J Cole) [Instrumental],3 Dope Brothas,7 Minute Drill (Originally Performed by J Cole) [Instrumental],2024-04-16,8
7mOC6phfrfz3jfigg1aGsE,Wanna Be (with Megan Thee Stallion),GloRilla,Ehhthang Ehhthang,2024-04-05,81
1yfKakY4rvI17lk20ekuRA,Crocodile Tearz,J. Cole,Might Delete Later,2024-04-05,83
2cH8wHImerFokgmhjyhCTU,Huntin’ Wabbitz,J. Cole,Might Delete Later,2024-04-05,82
5E9cb5vhHkrM0DW8yIYkfw,Pricey,Cat Janice,Pricey,2018-11-27,28
7tL8axnLq9V2ux4XQmkzMF,"Messiah, HWV 56: Accompagnato. Behold, I tell you a mystery (Bass)",George Frideric Handel,Handel: Messiah,1991-09-01,0
4J9WveqdoaEUQu1aeoSH9X,Ready ‘24 (feat. Cam’ron),J. Cole,Might Delete Later,2024-04-05,78
1tTKy8pW1dMaXJm7bYrSzA,Stickz N Stonez,J. Cole,Might Delete Later,2024-04-05,77
6XkIQqAsFjk1XfD4L7G6qR,Fever,J. Cole,Might Delete Later,2024-04-05,78
3h76tbaYIamSeJL81X7ZwI,Cry,Benson Boone,Fireworks & Rollerblades,2024-04-05,85
1fzAuUVbzlhZ1lJAx9PtY6,Daylight,Taylor Swift,Lover,2019-08-23,82
1nmwT930XXGwjccTSqkctl,Judgement Day,Stealth,Intro,2018-04-24,54
4E2fOeF5A6onC10OtnjXJa,Trae The Truth in Ibiza,J. Cole,Might Delete Later,2024-04-05,76
7JRwdwgeTrYkJvwmecrPSW,3001,J. Cole,Might Delete Later,2024-04-05,75
0ZDwhNFZnPx9EIPCcwGUHC,Hell N Back (feat. Summer Walker),Bakar,Hell N Back (feat. Summer Walker),2023-09-21,81
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,87
1fAeFPXsX08Ovnn9iV1x27,Halfway To Hell,Jelly Roll,Whitsitt Chapel,2023-06-02,73
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,SUPER REAL ME,2024-03-25,94
6VpH2prT3NGiK5pnpG2L3J,Bulletproof,Nate Smith,Bulletproof,2024-02-09,75
1UP7PXne1lIYZB5G5aiRGL,II MOST WANTED,Beyoncé,COWBOY CARTER,2024-03-29,87
2PmMh2t7jAtN6cqFooA0Xy,JOLENE,Beyoncé,COWBOY CARTER,2024-03-29,85
2UDARQiksl207HcSduDpov,LEVII'S JEANS,Beyoncé,COWBOY CARTER,2024-03-29,85
6Y4rniIxibegzsg8cdWAWV,BODYGUARD,Beyoncé,COWBOY CARTER,2024-03-29,86
7eEr7lgWYudwEKEaWCPiPI,BLACKBIIRD,Beyoncé,COWBOY CARTER,2024-03-29,82
6K2Iut8nSQigP83yvbiqi8,AMERIICAN REQUIEM,Beyoncé,COWBOY CARTER,2024-03-29,82
5UcUppRaEIBMIHXiUFl7LI,SPAGHETTII,Beyoncé,COWBOY CARTER,2024-03-29,83
0hWCzWl04zT7P6vMy63XCN,DAUGHTER,Beyoncé,COWBOY CARTER,2024-03-29,82
0K9tfzrxJyCQIf7oAlPwaK,YA YA,Beyoncé,COWBOY CARTER,2024-03-29,83
4dsdSwSdBWjlsVzU6iJs3b,PROTECTOR,Beyoncé,COWBOY CARTER,2024-03-29,81
5mUlozUYpdmXVPkj4BW8cA,TYRANT,Beyoncé,COWBOY CARTER,2024-03-29,81
0TsCBkrq3owPs06HP5Q9Z4,RIIVERDANCE,Beyoncé,COWBOY CARTER,2024-03-29,81
1LSWDkZxVngIpfjvMs6Q56,ALLIIGATOR TEARS,Beyoncé,COWBOY CARTER,2024-03-29,80
486YUqcmF9IWPkreU0THcQ,MY ROSE,Beyoncé,COWBOY CARTER,2024-03-29,80
4h6iaiMchTUHlK5ovMiJ3h,JUST FOR FUN,Beyoncé,COWBOY CARTER,2024-03-29,80
1Y7vNzQrybb2ICYKmbOfdt,II HANDS II HEAVEN,Beyoncé,COWBOY CARTER,2024-03-29,80
7CA0mEKqEZ0WFAIlTS4uEl,SWEET ★ HONEY ★ BUCKIIN',Beyoncé,COWBOY CARTER,2024-03-29,80
3B7EZgquNKHrSIo2tEc8mK,FLAMENCO,Beyoncé,COWBOY CARTER,2024-03-29,80
